,zeilen,zeichen
864,"
",1
865,"(3) Die Bundesversammlung besteht aus den Mitgliedern des Bundestages und einer gleichen Anzahl von
",100
866,"Mitgliedern, die von den Volksvertretungen der Länder nach den Grundsätzen der Verhältniswahl gewählt
",102
867,"werden.
",8
868,"(4) Die Bundesversammlung tritt spätestens dreißig Tage vor Ablauf der Amtszeit des Bundespräsidenten,
",103
869,"bei vorzeitiger Beendigung spätestens dreißig Tage nach diesem Zeitpunkt zusammen. Sie wird von dem
",100
870,"Präsidenten des Bundestages einberufen.
",40
871,"(5) Nach Ablauf der Wahlperiode beginnt die Frist des Absatzes 4 Satz 1 mit dem ersten Zusammentritt des
",105
872,"Bundestages.
",13
873,"(6) Gewählt ist, wer die Stimmen der Mehrheit der Mitglieder der Bundesversammlung erhält. Wird diese
",102
874,"Mehrheit in zwei Wahlgängen von keinem Bewerber erreicht, so ist gewählt, wer in einem weiteren Wahlgang die
",109
875,"meisten Stimmen auf sich vereinigt.
",36
876,"(7) Das Nähere regelt ein Bundesgesetz.
",40
877,"Art 55 
",8
878,"
",1
879," 
",2
880,"
",1
881,"(1) Der Bundespräsident darf weder der Regierung noch einer gesetzgebenden Körperschaft des Bundes oder
",104
882,"eines Landes angehören.
",24
883,"(2) Der Bundespräsident darf kein anderes besoldetes Amt, kein Gewerbe und keinen Beruf ausüben und weder
",106
884,"der Leitung noch dem Aufsichtsrate eines auf Erwerb gerichteten Unternehmens angehören.
",88
885,"Art 56 
",8
886,"
",1
887," 
",2
888,"
",1
889,"Der Bundespräsident leistet bei seinem Amtsantritt vor den versammelten Mitgliedern des Bundestages und des
",108
890,"Bundesrates folgenden Eid:
",27
891,"   ""Ich schwöre, daß ich meine Kraft dem Wohle des deutschen Volkes widmen, seinen Nutzen mehren, Schaden
",106
892,"von ihm wenden, das Grundgesetz und die Gesetze des Bundes wahren und verteidigen, meine Pflichten
",99
893,"gewissenhaft erfüllen und Gerechtigkeit gegen jedermann üben werde. So wahr mir Gott helfe.""
",93
894,"Der Eid kann auch ohne religiöse Beteuerung geleistet werden.
",62
895," 
",2
896,"
",1
897,"Art 57 
",8
898,"
",1
899," 
",2
900,"
",1
901,"Die Befugnisse des Bundespräsidenten werden im Falle seiner Verhinderung oder bei vorzeitiger Erledigung des
",109
902,"Amtes durch den Präsidenten des Bundesrates wahrgenommen.
",58
903,"Art 58 
",8
904,"
",1
905," 
",2
906,"
",1
907,"Anordnungen und Verfügungen des Bundespräsidenten bedürfen zu ihrer Gültigkeit der Gegenzeichnung durch
",104
908,"den Bundeskanzler oder durch den zuständigen Bundesminister. Dies gilt nicht für die Ernennung und Entlassung
",110
909,"des Bundeskanzlers, die Auflösung des Bundestages gemäß Artikel 63 und das Ersuchen gemäß Artikel 69 Abs.
",106
910,"3.
",3
911,"Art 59 
",8
912,"
",1
913," 
",2
914,"
",1
915,"(1) Der Bundespräsident vertritt den Bund völkerrechtlich. Er schließt im Namen des Bundes die Verträge mit
",108
916,"auswärtigen Staaten. Er beglaubigt und empfängt die Gesandten.
",63
917,"(2) Verträge, welche die politischen Beziehungen des Bundes regeln oder sich auf Gegenstände
",93
918,"der Bundesgesetzgebung beziehen, bedürfen der Zustimmung oder der Mitwirkung der jeweils
",89
919,"für die Bundesgesetzgebung zuständigen Körperschaften in der Form eines Bundesgesetzes. Für
",92
920,"Verwaltungsabkommen gelten die Vorschriften über die Bundesverwaltung entsprechend.
",84
921,"Art 59a (weggefallen)
",22
922,"Art 60 
",8
923,"
",1
924," 
",2
925,"
",1
926,"(1) Der Bundespräsident ernennt und entläßt die Bundesrichter, die Bundesbeamten, die Offiziere und
",100
927,"Unteroffiziere, soweit gesetzlich nichts anderes bestimmt ist.
",63
928,"
",1
929,"- Seite 15 von 50 -
",20
930,"
",1
931,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
932,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
933,"
",1
934,"(2) Er übt im Einzelfalle für den Bund das Begnadigungsrecht aus.
",66
935,"(3) Er kann diese Befugnisse auf andere Behörden übertragen.
",61
936,"(4) Die Absätze 2 bis 4 des Artikels 46 finden auf den Bundespräsidenten entsprechende Anwendung.
",98
937,"Art 61 
",8
938,"
",1
939," 
",2
940,"
",1
941,"(1) Der Bundestag oder der Bundesrat können den Bundespräsidenten wegen vorsätzlicher Verletzung des
",101
942,"Grundgesetzes oder eines anderen Bundesgesetzes vor dem Bundesverfassungsgericht anklagen. Der Antrag auf
",106
943,"Erhebung der Anklage muß von mindestens einem Viertel der Mitglieder des Bundestages oder einem Viertel der
",108
944,"Stimmen des Bundesrates gestellt werden. Der Beschluß auf Erhebung der Anklage bedarf der Mehrheit von zwei
",108
945,"Dritteln der Mitglieder des Bundestages oder von zwei Dritteln der Stimmen des Bundesrates. Die Anklage wird
",109
946,"von einem Beauftragten der anklagenden Körperschaft vertreten.
",63
947,"(2) Stellt das Bundesverfassungsgericht fest, daß der Bundespräsident einer vorsätzlichen Verletzung des
",105
948,"Grundgesetzes oder eines anderen Bundesgesetzes schuldig ist, so kann es ihn des Amtes für verlustig erklären.
",111
949,"Durch einstweilige Anordnung kann es nach der Erhebung der Anklage bestimmen, daß er an der Ausübung
",101
950,"seines Amtes verhindert ist.
",29
951,"
",1
952,"VI.
",4
953,"Die Bundesregierung
",20
954,"Art 62 
",8
955,"
",1
956," 
",2
957,"
",1
958,"Die Bundesregierung besteht aus dem Bundeskanzler und aus den Bundesministern.
",79
959,"Art 63 
",8
960,"
",1
961," 
",2
962,"
",1
963,"(1) Der Bundeskanzler wird auf Vorschlag des Bundespräsidenten vom Bundestage ohne Aussprache gewählt.
",103
964,"(2) Gewählt ist, wer die Stimmen der Mehrheit der Mitglieder des Bundestages auf sich vereinigt. Der Gewählte
",110
965,"ist vom Bundespräsidenten zu ernennen.
",39
966,"(3) Wird der Vorgeschlagene nicht gewählt, so kann der Bundestag binnen vierzehn Tagen nach dem Wahlgange
",106
967,"mit mehr als der Hälfte seiner Mitglieder einen Bundeskanzler wählen.
",70
968,"(4) Kommt eine Wahl innerhalb dieser Frist nicht zustande, so findet unverzüglich ein neuer Wahlgang statt,
",108
969,"in dem gewählt ist, wer die meisten Stimmen erhält. Vereinigt der Gewählte die Stimmen der Mehrheit der
",104
970,"Mitglieder des Bundestages auf sich, so muß der Bundespräsident ihn binnen sieben Tagen nach der Wahl
",102
971,"ernennen. Erreicht der Gewählte diese Mehrheit nicht, so hat der Bundespräsident binnen sieben Tagen
",101
972,"entweder ihn zu ernennen oder den Bundestag aufzulösen.
",56
973,"Art 64 
",8
974,"
",1
975," 
",2
976,"
",1
977,"(1) Die Bundesminister werden auf Vorschlag des Bundeskanzlers vom Bundespräsidenten ernannt und
",97
978,"entlassen.
",11
979,"(2) Der Bundeskanzler und die Bundesminister leisten bei der Amtsübernahme vor dem Bundestage den in
",101
980,"Artikel 56 vorgesehenen Eid.
",29
981,"Art 65 
",8
982,"
",1
983," 
",2
984,"
",1
985,"Der Bundeskanzler bestimmt die Richtlinien der Politik und trägt dafür die Verantwortung. Innerhalb dieser
",107
986,"Richtlinien leitet jeder Bundesminister seinen Geschäftsbereich selbständig und unter eigener Verantwortung.
",109
987,"Über Meinungsverschiedenheiten zwischen den Bundesministern entscheidet die Bundesregierung.
",93
988,"Der Bundeskanzler leitet ihre Geschäfte nach einer von der Bundesregierung beschlossenen und vom
",97
989,"Bundespräsidenten genehmigten Geschäftsordnung.
",48
990,"Art 65a 
",9
991,"
",1
992," 
",2
993,"
",1
994,"(1) Der Bundesminister für Verteidigung hat die Befehls- und Kommandogewalt über die Streitkräfte.
",99
995,"
",1
996,"- Seite 16 von 50 -
",20
997,"
",1
998,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
999,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
1000,"
",1
1001,"(2) (weggefallen)
",18
1002,"Art 66 
",8
1003,"
",1
1004," 
",2
1005,"
",1
1006,"Der Bundeskanzler und die Bundesminister dürfen kein anderes besoldetes Amt, kein Gewerbe und keinen Beruf
",107
1007,"ausüben und weder der Leitung noch ohne Zustimmung des Bundestages dem Aufsichtsrate eines auf Erwerb
",102
1008,"gerichteten Unternehmens angehören.
",36
1009,"Art 67 
",8
1010,"
",1
1011," 
",2
1012,"
",1
1013,"(1) Der Bundestag kann dem Bundeskanzler das Mißtrauen nur dadurch aussprechen, daß er mit der Mehrheit
",104
1014,"seiner Mitglieder einen Nachfolger wählt und den Bundespräsidenten ersucht, den Bundeskanzler zu entlassen.
",108
1015,"Der Bundespräsident muß dem Ersuchen entsprechen und den Gewählten ernennen.
",77
1016,"(2) Zwischen dem Antrage und der Wahl müssen achtundvierzig Stunden liegen.
",76
1017,"Art 68 
",8
1018,"
",1
1019," 
",2
1020,"
",1
1021,"(1) Findet ein Antrag des Bundeskanzlers, ihm das Vertrauen auszusprechen, nicht die Zustimmung der Mehrheit
",109
1022,"der Mitglieder des Bundestages, so kann der Bundespräsident auf Vorschlag des Bundeskanzlers binnen
",100
1023,"einundzwanzig Tagen den Bundestag auflösen. Das Recht zur Auflösung erlischt, sobald der Bundestag mit der
",107
1024,"Mehrheit seiner Mitglieder einen anderen Bundeskanzler wählt.
",62
1025,"(2) Zwischen dem Antrage und der Abstimmung müssen achtundvierzig Stunden liegen.
",82
1026,"Art 69 
",8
1027,"
",1
1028," 
",2
1029,"
",1
1030,"(1) Der Bundeskanzler ernennt einen Bundesminister zu seinem Stellvertreter.
",77
1031,"(2) Das Amt des Bundeskanzlers oder eines Bundesministers endigt in jedem Falle mit dem Zusammentritt
",102
1032,"eines neuen Bundestages, das Amt eines Bundesministers auch mit jeder anderen Erledigung des Amtes des
",103
1033,"Bundeskanzlers.
",16
1034,"(3) Auf Ersuchen des Bundespräsidenten ist der Bundeskanzler, auf Ersuchen des Bundeskanzlers oder des
",103
1035,"Bundespräsidenten ein Bundesminister verpflichtet, die Geschäfte bis zur Ernennung seines Nachfolgers
",102
1036,"weiterzuführen.
",16
1037,"
",1
1038,"VII.
",5
1039,"Die Gesetzgebung des Bundes
",28
1040,"Art 70 
",8
1041,"
",1
1042," 
",2
1043,"
",1
1044,"(1) Die Länder haben das Recht der Gesetzgebung, soweit dieses Grundgesetz nicht dem Bunde
",91
1045,"Gesetzgebungsbefugnisse verleiht.
",34
1046,"(2) Die Abgrenzung der Zuständigkeit zwischen Bund und Ländern bemißt sich nach den Vorschriften dieses
",104
1047,"Grundgesetzes über die ausschließliche und die konkurrierende Gesetzgebung.
",76
1048,"Art 71 
",8
1049,"
",1
1050," 
",2
1051,"
",1
1052,"Im Bereiche der ausschließlichen Gesetzgebung des Bundes haben die Länder die Befugnis zur Gesetzgebung
",104
1053,"nur, wenn und soweit sie hierzu in einem Bundesgesetze ausdrücklich ermächtigt werden.
",87
1054,"Art 72 
",8
1055,"
",1
1056," 
",2
1057,"
",1
1058,"(1) Im Bereich der konkurrierenden Gesetzgebung haben die Länder die Befugnis zur Gesetzgebung, solange und
",108
1059,"soweit der Bund von seiner Gesetzgebungszuständigkeit nicht durch Gesetz Gebrauch gemacht hat.
",95
1060,"(2) Auf den Gebieten des Artikels 74 Abs. 1 Nr. 4, 7, 11, 13, 15, 19a, 20, 22, 25 und 26 hat der Bund das
",106
1061,"Gesetzgebungsrecht, wenn und soweit die Herstellung gleichwertiger Lebensverhältnisse im Bundesgebiet
",102
1062,"oder die Wahrung der Rechts- oder Wirtschaftseinheit im gesamtstaatlichen Interesse eine bundesgesetzliche
",107
1063,"Regelung erforderlich macht.
",29
1064,"
",1
1065,"- Seite 17 von 50 -
",20
1066,"
",1
1067,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
1068,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
1069,"
",1
1070,"(3) Hat der Bund von seiner Gesetzgebungszuständigkeit Gebrauch gemacht, können die Länder durch Gesetz
",104
1071,"hiervon abweichende Regelungen treffen über:
",45
1072,"1.   das Jagdwesen (ohne das Recht der Jagdscheine);
",53
1073,"2.   den Naturschutz und die Landschaftspflege (ohne die allgemeinen Grundsätze des Naturschutzes, das
",103
1074,"Recht des Artenschutzes oder des Meeresnaturschutzes);
",55
1075," 
",2
1076,"
",1
1077,"3.   die Bodenverteilung;
",26
1078," 
",2
1079,"
",1
1080,"4.   die Raumordnung;
",22
1081," 
",2
1082,"
",1
1083,"5.   den Wasserhaushalt (ohne stoff- oder anlagenbezogene Regelungen);
",71
1084," 
",2
1085,"
",1
1086,"6.   die Hochschulzulassung und die Hochschulabschlüsse.
",57
1087," 
",2
1088,"
",1
1089,"Bundesgesetze auf diesen Gebieten treten frühestens sechs Monate nach ihrer Verkündung in Kraft, soweit nicht
",110
1090,"mit Zustimmung des Bundesrates anderes bestimmt ist. Auf den Gebieten des Satzes 1 geht im Verhältnis von
",106
1091,"Bundes- und Landesrecht das jeweils spätere Gesetz vor.
",56
1092," 
",2
1093,"
",1
1094,"(4) Durch Bundesgesetz kann bestimmt werden, daß eine bundesgesetzliche Regelung, für die eine
",95
1095,"Erforderlichkeit im Sinne des Absatzes 2 nicht mehr besteht, durch Landesrecht ersetzt werden kann.
",100
1096,"Art 73 
",8
1097,"
",1
1098," 
",2
1099,"
",1
1100,"(1) Der Bund hat die ausschließliche Gesetzgebung über:
",56
1101,"1.  
",5
1102,"2.  
",5
1103,"3.  
",5
1104,"4.  
",5
1105,"5.  
",5
1106,"
",1
1107,"die auswärtigen Angelegenheiten sowie die Verteidigung einschließlich des Schutzes der Zivilbevölkerung;
",105
1108,"die Staatsangehörigkeit im Bunde;
",34
1109," 
",2
1110,"
",1
1111,"die Freizügigkeit, das Paßwesen, das Melde- und Ausweiswesen, die Ein- und Auswanderung und die
",96
1112,"Auslieferung;
",14
1113," 
",2
1114,"
",1
1115,"das Währungs-, Geld- und Münzwesen, Maße und Gewichte sowie die Zeitbestimmung;
",80
1116," 
",2
1117,"
",1
1118,"die Einheit des Zoll- und Handelsgebietes, die Handels- und Schiffahrtsverträge, die Freizügigkeit des
",103
1119,"Warenverkehrs und den Waren- und Zahlungsverkehr mit dem Auslande einschließlich des Zoll- und
",95
1120,"Grenzschutzes;
",15
1121," 
",2
1122,"
",1
1123,"5a.   den Schutz deutschen Kulturgutes gegen Abwanderung ins Ausland;
",70
1124," 
",2
1125,"
",1
1126,"6.  
",5
1127,"
",1
1128,"den Luftverkehr;
",17
1129," 
",2
1130,"
",1
1131,"6a.   den Verkehr von Eisenbahnen, die ganz oder mehrheitlich im Eigentum des Bundes stehen (Eisenbahnen
",105
1132,"des Bundes), den Bau, die Unterhaltung und das Betreiben von Schienenwegen der Eisenbahnen des
",95
1133,"Bundes sowie die Erhebung von Entgelten für die Benutzung dieser Schienenwege;
",79
1134," 
",2
1135,"
",1
1136,"7.  
",5
1137,"8.  
",5
1138,"9.  
",5
1139,"
",1
1140,"das Postwesen und die Telekommunikation;
",41
1141," 
",2
1142,"
",1
1143,"die Rechtsverhältnisse der im Dienste des Bundes und der bundesunmittelbaren Körperschaften des
",96
1144,"öffentlichen Rechtes stehenden Personen;
",41
1145," 
",2
1146,"
",1
1147,"den gewerblichen Rechtsschutz, das Urheberrecht und das Verlagsrecht;
",70
1148," 
",2
1149,"
",1
1150,"9a.   die Abwehr von Gefahren des internationalen Terrorismus durch das Bundeskriminalpolizeiamt in Fällen,
",108
1151,"in denen eine länderübergreifende Gefahr vorliegt, die Zuständigkeit einer Landespolizeibehörde nicht
",102
1152,"erkennbar ist oder die oberste Landesbehörde um eine Übernahme ersucht;
",72
1153," 
",2
1154,"
",1
1155,"10.   die Zusammenarbeit des Bundes und der Länder
",51
1156," 
",2
1157,"
",1
1158,"a)   in der Kriminalpolizei,
",29
1159,"b)   zum Schutze der freiheitlichen demokratischen Grundordnung, des Bestandes und der Sicherheit
",98
1160,"des Bundes oder eines Landes (Verfassungsschutz) und
",53
1161," 
",2
1162,"
",1
1163,"c)   zum Schutze gegen Bestrebungen im Bundesgebiet, die durch Anwendung von Gewalt oder
",89
1164,"darauf gerichtete Vorbereitungshandlungen auswärtige Belange der Bundesrepublik Deutschland
",92
1165,"gefährden,
",11
1166," 
",2
1167,"
",1
1168,"sowie die Einrichtung eines Bundeskriminalpolizeiamtes und die internationale Verbrechensbekämpfung;
",101
1169," 
",2
1170,"
",1
1171," 
",2
1172,"
",1
1173,"11.   die Statistik für Bundeszwecke;
",38
1174,"12.   das Waffen- und das Sprengstoffrecht;
",44
1175," 
",2
1176,"
",1
1177," 
",2
1178,"
",1
1179,"- Seite 18 von 50 -
",20
1180,"
",1
1181,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
1182,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
1183,"
",1
1184,"13.   die Versorgung der Kriegsbeschädigten und Kriegshinterbliebenen und die Fürsorge für die ehemaligen
",106
1185,"Kriegsgefangenen;
",18
1186,"14.   die Erzeugung und Nutzung der Kernenergie zu friedlichen Zwecken, die Errichtung und den Betrieb von
",107
1187,"Anlagen, die diesen Zwecken dienen, den Schutz gegen Gefahren, die bei Freiwerden von Kernenergie
",98
1188,"oder durch ionisierende Strahlen entstehen, und die Beseitigung radioaktiver Stoffe.
",85
1189," 
",2
1190,"
",1
1191," 
",2
1192,"
",1
1193,"(2) Gesetze nach Absatz 1 Nr. 9a bedürfen der Zustimmung des Bundesrates.
",74
1194,"Art 74 
",8
1195,"
",1
1196," 
",2
1197,"
",1
1198,"(1) Die konkurrierende Gesetzgebung erstreckt sich auf folgende Gebiete:
",73
1199,"1.  
",5
1200,"2.  
",5
1201,"3.  
",5
1202,"4.  
",5
1203,"5.  
",5
1204,"6.  
",5
1205,"7.  
",5
1206,"8.  
",5
1207,"9.  
",5
1208,"10.  
",6
1209,"11.  
",6
1210,"
",1
1211,"12.  
",6
1212,"13.  
",6
1213,"14.  
",6
1214,"15.  
",6
1215,"16.  
",6
1216,"17.  
",6
1217,"
",1
1218,"18.  
",6
1219,"
",1
1220,"19.  
",6
1221,"
",1
1222,"19a.  
",7
1223,"20.  
",6
1224,"
",1
1225,"21.  
",6
1226,"
",1
1227,"das bürgerliche Recht, das Strafrecht, die Gerichtsverfassung, das gerichtliche Verfahren (ohne das
",100
1228,"Recht des Untersuchungshaftvollzugs), die Rechtsanwaltschaft, das Notariat und die Rechtsberatung;
",99
1229,"das Personenstandswesen;
",25
1230," 
",2
1231,"
",1
1232,"das Vereinsrecht;
",18
1233," 
",2
1234,"
",1
1235,"das Aufenthalts- und Niederlassungsrecht der Ausländer;
",56
1236," 
",2
1237,"
",1
1238,"(weggefallen)
",14
1239," 
",2
1240,"
",1
1241,"die Angelegenheiten der Flüchtlinge und Vertriebenen;
",54
1242," 
",2
1243,"
",1
1244,"die öffentliche Fürsorge (ohne das Heimrecht);
",47
1245," 
",2
1246,"
",1
1247,"(weggefallen)
",14
1248," 
",2
1249,"
",1
1250,"die Kriegsschäden und die Wiedergutmachung;
",44
1251," 
",2
1252,"
",1
1253,"die Kriegsgräber und Gräber anderer Opfer des Krieges und Opfer von Gewaltherrschaft;
",86
1254," 
",2
1255,"
",1
1256,"das Recht der Wirtschaft (Bergbau, Industrie, Energiewirtschaft, Handwerk, Gewerbe, Handel, Bankund Börsenwesen, privatrechtliches Versicherungswesen) ohne das Recht des Ladenschlusses, der
",190
1257,"Gaststätten, der Spielhallen, der Schaustellung von Personen, der Messen, der Ausstellungen und der
",100
1258,"Märkte;
",8
1259," 
",2
1260,"
",1
1261,"das Arbeitsrecht einschließlich der Betriebsverfassung, des Arbeitsschutzes und der Arbeitsvermittlung
",103
1262,"sowie die Sozialversicherung einschließlich der Arbeitslosenversicherung;
",74
1263," 
",2
1264,"
",1
1265,"die Regelung der Ausbildungsbeihilfen und die Förderung der wissenschaftlichen Forschung;
",90
1266," 
",2
1267,"
",1
1268,"das Recht der Enteignung, soweit sie auf den Sachgebieten der Artikel 73 und 74 in Betracht kommt;
",99
1269," 
",2
1270,"
",1
1271,"die Überführung von Grund und Boden, von Naturschätzen und Produktionsmitteln in Gemeineigentum
",96
1272,"oder in andere Formen der Gemeinwirtschaft;
",44
1273," 
",2
1274,"
",1
1275,"die Verhütung des Mißbrauchs wirtschaftlicher Machtstellung;
",61
1276," 
",2
1277,"
",1
1278,"die Förderung der land- und forstwirtschaftlichen Erzeugung (ohne das Recht der Flurbereinigung), die
",102
1279,"Sicherung der Ernährung, die Ein- und Ausfuhr land- und forstwirtschaftlicher Erzeugnisse, die Hochseeund Küstenfischerei und den Küstenschutz;
",144
1280," 
",2
1281,"
",1
1282,"den städtebaulichen Grundstücksverkehr, das Bodenrecht (ohne das Recht der Erschließungsbeiträge)
",98
1283,"und das Wohngeldrecht, das Altschuldenhilferecht, das Wohnungsbauprämienrecht, das
",83
1284,"Bergarbeiterwohnungsbaurecht und das Bergmannssiedlungsrecht;
",62
1285," 
",2
1286,"
",1
1287,"Maßnahmen gegen gemeingefährliche oder übertragbare Krankheiten bei Menschen und Tieren,
",89
1288,"Zulassung zu ärztlichen und anderen Heilberufen und zum Heilgewerbe, sowie das Recht des
",89
1289,"Apothekenwesens, der Arzneien, der Medizinprodukte, der Heilmittel, der Betäubungsmittel und der
",97
1290,"Gifte;
",7
1291," 
",2
1292,"
",1
1293,"die wirtschaftliche Sicherung der Krankenhäuser und die Regelung der Krankenhauspflegesätze;
",93
1294," 
",2
1295,"
",1
1296,"das Recht der Lebensmittel einschließlich der ihrer Gewinnung dienenden Tiere, das Recht der
",93
1297,"Genussmittel, Bedarfsgegenstände und Futtermittel sowie den Schutz beim Verkehr mit land- und
",94
1298,"forstwirtschaftlichem Saat- und Pflanzgut, den Schutz der Pflanzen gegen Krankheiten und Schädlinge
",100
1299,"sowie den Tierschutz;
",22
1300," 
",2
1301,"
",1
1302,"die Hochsee- und Küstenschiffahrt sowie die Seezeichen, die Binnenschiffahrt, den Wetterdienst, die
",100
1303,"Seewasserstraßen und die dem allgemeinen Verkehr dienenden Binnenwasserstraßen;
",80
1304," 
",2
1305,"
",1
1306," 
",2
1307,"
",1
1308,"- Seite 19 von 50 -
",20
1309,"
",1
1310,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
1311,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
1312,"
",1
1313,"22.  
",6
1314,"
",1
1315,"den Straßenverkehr, das Kraftfahrwesen, den Bau und die Unterhaltung von Landstraßen für den
",93
1316,"Fernverkehr sowie die Erhebung und Verteilung von Gebühren oder Entgelten für die Benutzung
",92
1317,"öffentlicher Straßen mit Fahrzeugen;
",37
1318,"
",1
1319,"23.  
",6
1320,"
",1
1321,"die Schienenbahnen, die nicht Eisenbahnen des Bundes sind, mit Ausnahme der Bergbahnen;
",88
1322," 
",2
1323,"
",1
1324,"24.  
",6
1325,"
",1
1326,"die Abfallwirtschaft, die Luftreinhaltung und die Lärmbekämpfung (ohne Schutz vor
",82
1327,"verhaltensbezogenem Lärm);
",27
1328," 
",2
1329,"
",1
1330,"25.  
",6
1331,"
",1
1332,"die Staatshaftung;
",19
1333," 
",2
1334,"
",1
1335,"26.  
",6
1336,"
",1
1337,"die medizinisch unterstützte Erzeugung menschlichen Lebens, die Untersuchung und die künstliche
",96
1338,"Veränderung von Erbinformationen sowie Regelungen zur Transplantation von Organen, Geweben und
",95
1339,"Zellen;
",8
1340," 
",2
1341,"
",1
1342,"27.  
",6
1343,"
",1
1344,"die Statusrechte und -pflichten der Beamten der Länder, Gemeinden und anderen Körperschaften des
",97
1345,"öffentlichen Rechts sowie der Richter in den Ländern mit Ausnahme der Laufbahnen, Besoldung und
",96
1346,"Versorgung;
",12
1347," 
",2
1348,"
",1
1349,"28.  
",6
1350,"
",1
1351,"das Jagdwesen;
",15
1352," 
",2
1353,"
",1
1354,"29.  
",6
1355,"
",1
1356,"den Naturschutz und die Landschaftspflege;
",43
1357," 
",2
1358,"
",1
1359,"30.  
",6
1360,"
",1
1361,"die Bodenverteilung;
",21
1362," 
",2
1363,"
",1
1364,"31.  
",6
1365,"
",1
1366,"die Raumordnung;
",17
1367," 
",2
1368,"
",1
1369,"32.  
",6
1370,"
",1
1371,"den Wasserhaushalt;
",20
1372," 
",2
1373,"
",1
1374,"33.  
",6
1375,"
",1
1376,"die Hochschulzulassung und die Hochschulabschlüsse.
",52
1377," 
",2
1378,"
",1
1379," 
",2
1380,"
",1
1381,"(2) Gesetze nach Absatz 1 Nr. 25 und 27 bedürfen der Zustimmung des Bundesrates.
",81
1382,"Art 74a und 75 (weggefallen)
",29
1383,"Art 76 
",8
1384,"
",1
1385," 
",2
1386,"
",1
1387,"(1) Gesetzesvorlagen werden beim Bundestage durch die Bundesregierung, aus der Mitte des Bundestages oder
",106
1388,"durch den Bundesrat eingebracht.
",33
1389,"(2) Vorlagen der Bundesregierung sind zunächst dem Bundesrat zuzuleiten. Der Bundesrat ist berechtigt,
",103
1390,"innerhalb von sechs Wochen zu diesen Vorlagen Stellung zu nehmen. Verlangt er aus wichtigem Grunde,
",100
1391,"insbesondere mit Rücksicht auf den Umfang einer Vorlage, eine Fristverlängerung, so beträgt die Frist neun
",107
1392,"Wochen. Die Bundesregierung kann eine Vorlage, die sie bei der Zuleitung an den Bundesrat ausnahmsweise
",104
1393,"als besonders eilbedürftig bezeichnet hat, nach drei Wochen oder, wenn der Bundesrat ein Verlangen nach Satz
",109
1394,"3 geäußert hat, nach sechs Wochen dem Bundestag zuleiten, auch wenn die Stellungnahme des Bundesrates
",102
1395,"noch nicht bei ihr eingegangen ist; sie hat die Stellungnahme des Bundesrates unverzüglich nach Eingang
",104
1396,"dem Bundestag nachzureichen. Bei Vorlagen zur Änderung dieses Grundgesetzes und zur Übertragung von
",100
1397,"Hoheitsrechten nach Artikel 23 oder Artikel 24 beträgt die Frist zur Stellungnahme neun Wochen; Satz 4 findet
",110
1398,"keine Anwendung.
",17
1399,"(3) Vorlagen des Bundesrates sind dem Bundestag durch die Bundesregierung innerhalb von sechs Wochen
",101
1400,"zuzuleiten. Sie soll hierbei ihre Auffassung darlegen. Verlangt sie aus wichtigem Grunde, insbesondere mit
",107
1401,"Rücksicht auf den Umfang einer Vorlage, eine Fristverlängerung, so beträgt die Frist neun Wochen. Wenn der
",107
1402,"Bundesrat eine Vorlage ausnahmsweise als besonders eilbedürftig bezeichnet hat, beträgt die Frist drei Wochen
",110
1403,"oder, wenn die Bundesregierung ein Verlangen nach Satz 3 geäußert hat, sechs Wochen. Bei Vorlagen zur
",102
1404,"Änderung dieses Grundgesetzes und zur Übertragung von Hoheitsrechten nach Artikel 23 oder Artikel 24 beträgt
",109
1405,"die Frist neun Wochen; Satz 4 findet keine Anwendung. Der Bundestag hat über die Vorlagen in angemessener
",106
1406,"Frist zu beraten und Beschluß zu fassen.
",41
1407,"Art 77 
",8
1408,"
",1
1409," 
",2
1410,"
",1
1411,"(1) Die Bundesgesetze werden vom Bundestage beschlossen. Sie sind nach ihrer Annahme durch den
",95
1412,"Präsidenten des Bundestages unverzüglich dem Bundesrate zuzuleiten.
",68
1413,"(2) Der Bundesrat kann binnen drei Wochen nach Eingang des Gesetzesbeschlusses verlangen, daß ein aus
",102
1414,"Mitgliedern des Bundestages und des Bundesrates für die gemeinsame Beratung von Vorlagen gebildeter
",100
1415,"Ausschuß einberufen wird. Die Zusammensetzung und das Verfahren dieses Ausschusses regelt eine
",95
1416,"
",1
1417,"- Seite 20 von 50 -
",20
1418,"
",1
1419,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
1420,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
1421,"
",1
